,precision,recall,f1-score,support
0,0.9047256097560976,0.9772640911969601,0.939596906777081,15790.0
1,0.9829545454545454,0.4235654169854629,0.592022243610309,6535.0
2,0.947610123419271,0.9833727551467367,0.9651602696381896,57075.0
3,0.9702788006312467,0.8613121643707682,0.9125541125541126,4283.0
4,0.8588235294117647,0.7891891891891892,0.8225352112676056,185.0
5,0.9133495145631068,0.9690960597476178,0.9403973509933775,7766.0
6,0.965967365967366,0.9852591535901094,0.975517890772128,2103.0
7,0.9927272727272727,0.996956786366403,0.9948375341633768,1643.0
8,0.958139534883721,0.9537037037037037,0.9559164733178654,216.0
9,0.8655643421998562,0.9966887417218543,0.9265101962293191,1208.0
10,0.7829787234042553,0.9658792650918635,0.8648648648648648,381.0
11,0.9545454545454546,1.0,0.9767441860465117,21.0
accuracy,0.9381622533588462,0.9381622533588462,0.9381622533588462,0.9381622533588462
macro avg,0.9248054014136633,0.9085239439258892,0.9055547700195617,97206.0
weighted avg,0.9406325988692683,0.9381622533588462,0.9311888836614807,97206.0
