,precision,recall,f1-score,support
0,0.96527428283845,0.9717542748575048,0.9685034400050496,15790.0
1,0.8663568511477256,0.9413925019127773,0.9023173951305369,6535.0
2,0.9910800471917343,0.9714060446780551,0.9811444295990869,57075.0
3,0.9458483754512635,0.9787532103665655,0.9620195065978199,4283.0
4,0.7435897435897436,0.9405405405405406,0.8305489260143197,185.0
5,0.9589881180528939,0.9665207313932527,0.9627396908869365,7766.0
6,0.9821008007536505,0.9914407988587732,0.9867486985328916,2103.0
7,0.9933090024330901,0.9939135727328059,0.9936111956191057,1643.0
8,0.9166666666666666,0.9675925925925926,0.9414414414414415,216.0
9,0.9215384615384615,0.9917218543046358,0.9553429027113238,1208.0
10,0.8074398249452954,0.968503937007874,0.8806682577565633,381.0
11,0.9545454545454546,1.0,0.9767441860465117,21.0
accuracy,0.97037219924696,0.97037219924696,0.97037219924696,0.97037219924696
macro avg,0.9205614690962024,0.9736283382704481,0.9451525058617989,97206.0
weighted avg,0.9715615725935534,0.97037219924696,0.9707202937172648,97206.0
